Geography,ES-over16,ES-over16-iLF,ES-over16-iLF-CIV,ES-over16-iLF-CIV-E,ES-over16-iLF-CIV-UE,ES-over16-iLF-AF,ES-over16-oLF,ES-over16-F-iLF,ES-over16-F-iLF-CIV,ES-over16-F-iLF-CIV-E,CTW-over16,CTW-over16-CTV-alone,OCC-over16-iLF-CIV-E-mgmt_biz_sci_arts,OCC-over16-iLF-CIV-E-prod_trans_materials,IND-over16-iLF-CIV-E - Manufacturing,COW-over16-iLF-CIV-E-private_emp,COW-over16-iLF-CIV-E-govt,INC - Total households,INC - Wage.Earner.Count,INC - Social.Security.Recip.Cnt,INC - Food.Stamp.Cnt,INC - Families,INC - NonFam,HIC-Civilian.NIP,HIC-Civilian.NIP-Covered,HIC-Civilian.NIP-Covered-Private,HIC-Civilian.NIP-Covered-Public,HIC-Civilian.NIP-Uninsured,HIC-Civilian.NIP <Age19,HIC-Civilian.NIP Age19-64,HIC-Civilian.NIP Age19-64-iLF,HIC-Civilian.NIP Age19-64-iLF-E,HIC-Civilian.NIP Age19-64-iLF-E-Covered,HIC-Civilian.NIP Age19-64-iLF-E-Covered-Private,HIC-Civilian.NIP Age19-64-iLF-E-Uninsured,HIC-Civilian.NIP Age19-64-iLF-UE,HIC-Civilian.NIP Age19-64-iLF-UE-Covered,HIC-Civilian.NIP Age19-64-iLF-UE-Uninsured,HIC-Civilian.NIP Age19-64-oLF,HIC-Civilian.NIP Age19-64-oLF-Covered,above_average_median,above_weighted_median,modal_income
"Washington County, North Carolina",10145,0.50616067,0.500542139,0.448299655,0.052242484,0.005618531,0.49383933,0.47224927,0.477550217,0.486587511,0.898975975,0.811829135,0.157651715,0.252638522,0.222735268,0.784080915,0.149956025,5223,0.622630672,0.426766226,0.263833046,2980,2243,12141,0.873074706,0.543777284,0.502100321,0.126925294,2615,6912,0.677517361,0.61009838,0.778278397,0.721840171,0.221721603,0.067418981,0.727467811,0.272532189,0.322482639,1832,0,0,6
"Watauga County, North Carolina",47373,0.565891964,0.564287674,0.518523209,0.045764465,0.001604289,0.434108036,0.478663086,0.480023941,0.484978017,0.887438276,0.738692408,0.36325517,0.06814851,0.047874939,0.701188731,0.217106334,20331,0.775810339,0.302936403,0.078746741,10920,9411,53092,0.905805018,0.769720485,0.257063211,0.094194982,9527,35795,0.674395865,0.627629557,0.867355114,0.838377993,0.132644886,0.046766308,0.789127838,0.210872162,0.325604135,10485,0,0,1
"Wayne County, North Carolina",98155,0.609383119,0.579165605,0.522724263,0.056441343,0.030217513,0.390616881,0.472698699,0.489445539,0.488949092,0.931501548,0.809986026,0.290714898,0.1808295,0.148086068,0.754931005,0.193361659,47587,0.732553008,0.353920188,0.186185303,31928,15659,120019,0.863321641,0.589814946,0.415475883,0.136678359,31409,70296,0.73692671,0.671247297,0.813037765,0.750328487,0.186962235,0.065679413,0.576348278,0.423651722,0.26307329,14804,0,0,6
"Wilkes County, North Carolina",55762,0.546483268,0.546178401,0.505164808,0.041013593,0.000304867,0.453516732,0.467102025,0.467362753,0.469771735,0.908064092,0.839564651,0.271859136,0.203308602,0.173204587,0.769746885,0.150733075,27765,0.6604358,0.420205294,0.176337115,18924,8841,67722,0.87681994,0.616431883,0.409689613,0.12318006,15219,39206,0.713997857,0.665663419,0.832439267,0.797992183,0.167560733,0.048334439,0.490237467,0.509762533,0.286002143,9059,0,0,6
"Wilson County, North Carolina",64297,0.595782074,0.594102369,0.546137456,0.047964913,0.001679705,0.404217926,0.503876576,0.504908505,0.508329774,0.89782455,0.837561232,0.305738288,0.184650434,0.185333903,0.816944326,0.136010252,32068,0.721435699,0.371211176,0.189721841,21255,10813,80308,0.861881755,0.581697963,0.407269512,0.138118245,20131,47334,0.741750116,0.682722779,0.813714569,0.768968932,0.186285431,0.059027338,0.571224052,0.428775948,0.258249884,9589,0,0,6
"Yadkin County, North Carolina",30627,0.546380645,0.545564371,0.513435857,0.032128514,0.000816273,0.453619355,0.45595793,0.456640134,0.454562798,0.920701418,0.815717629,0.271478537,0.22836248,0.20508744,0.809984102,0.115675676,15521,0.685393982,0.404613105,0.138393145,10744,4777,37534,0.868119572,0.611498908,0.403047903,0.131880428,8707,21959,0.703993807,0.666287172,0.830906978,0.7972114,0.169093022,0.037706635,0.611111111,0.388888889,0.296006193,5019,0,0,6
"Yancey County, North Carolina",14676,0.524052875,0.521327337,0.477855001,0.043472336,0.002725538,0.475947125,0.462228579,0.464645144,0.457863967,0.890341132,0.814298297,0.313132753,0.161414516,0.15000713,0.734778269,0.183373734,7493,0.663552649,0.411050314,0.173094889,5025,2468,17427,0.857233029,0.598898261,0.427153268,0.142766971,3446,9830,0.69837233,0.638046796,0.798309949,0.76036352,0.201690051,0.060325534,0.451939292,0.548060708,0.30162767,2239,0,0,6
"Adams County, North Dakota",1973,0.656867714,0.656867714,0.646224024,0.01064369,0,0.343132286,0.435185185,0.435185185,0.436862745,0.980709877,0.738788356,0.44627451,0.121568627,0.035294118,0.737254902,0.105882353,1052,0.791825095,0.33365019,0.038022814,706,346,2316,0.941278066,0.831606218,0.28238342,0.058721934,502,1323,0.842781557,0.829176115,0.925250684,0.891522334,0.074749316,0.013605442,0.666666667,0.333333333,0.157218443,189,1,0,5
"Barnes County, North Dakota",9072,0.657958554,0.657407407,0.63712522,0.020282187,0.000551146,0.342041446,0.461886413,0.461938296,0.457266436,0.942991281,0.777382646,0.350865052,0.137024221,0.093944637,0.678200692,0.19083045,5113,0.791120673,0.335223939,0.076862898,3053,2060,10775,0.949048724,0.825429234,0.305707657,0.050951276,2395,6270,0.823923445,0.799043062,0.936726547,0.889021956,0.063273453,0.024880383,0.794871795,0.205128205,0.176076555,1060,1,0,6
"Benson County, North Dakota",4738,0.550021106,0.548754749,0.51329675,0.035457999,0.001266357,0.449978894,0.488871834,0.49,0.498355263,0.903461538,0.739463602,0.365131579,0.113075658,0.062088816,0.590871711,0.262335526,2292,0.770069808,0.32591623,0.221204188,1641,651,6861,0.866929019,0.47238012,0.503570908,0.133070981,2449,3530,0.653541076,0.607365439,0.869402985,0.770988806,0.130597015,0.046175637,0.411042945,0.588957055,0.346458924,843,0,0,6
